trip_id,from_stop_id,to_stop_id,distance_km
9ByH2YQ54cshi1Sj8kgPQ-07:00:00,229,225,0.3481
9ByH2YQ54cshi1Sj8kgPQ-07:00:00,225,223,0.6788
9ByH2YQ54cshi1Sj8kgPQ-07:00:00,223,198,0.1936
9ByH2YQ54cshi1Sj8kgPQ-07:00:00,198,196,0.5163
9ByH2YQ54cshi1Sj8kgPQ-07:00:00,196,193,0.38089999999999996
9LVHJSd6OMdlCKboaE00V-07:00:00,48,50,0.1735
9LVHJSd6OMdlCKboaE00V-07:00:00,50,52,0.1368
9LVHJSd6OMdlCKboaE00V-07:00:00,52,56,0.21569999999999998
9LVHJSd6OMdlCKboaE00V-07:00:00,56,54,0.8118
9LVHJSd6OMdlCKboaE00V-07:00:00,54,58,0.5091
9LVHJSd6OMdlCKboaE00V-07:00:00,58,61,0.427
9LVHJSd6OMdlCKboaE00V-07:00:00,61,63,0.5276000000000001
9LVHJSd6OMdlCKboaE00V-07:00:00,63,65,0.8733
9LVHJSd6OMdlCKboaE00V-07:00:00,65,67,1.4719
9LVHJSd6OMdlCKboaE00V-07:00:00,67,69,0.4659
9LVHJSd6OMdlCKboaE00V-07:00:00,69,71,0.7252000000000001
9LVHJSd6OMdlCKboaE00V-07:00:00,71,75,0.6437
9LVHJSd6OMdlCKboaE00V-07:00:00,75,77,1.1933
9LVHJSd6OMdlCKboaE00V-07:00:00,77,79,0.1374
9LVHJSd6OMdlCKboaE00V-07:00:00,79,101,0.7313999999999999
9iBvMMprqaal91Eesle9O-07:00:00,300,298,0.2047
9iBvMMprqaal91Eesle9O-07:00:00,298,296,0.25980000000000003
9iBvMMprqaal91Eesle9O-07:00:00,296,332,3.8487
9iBvMMprqaal91Eesle9O-07:00:00,332,330,1.3973
9iBvMMprqaal91Eesle9O-07:00:00,330,173,2.5598
9iBvMMprqaal91Eesle9O-07:00:00,173,171,0.8202
9iBvMMprqaal91Eesle9O-07:00:00,171,170,0.5554
9iBvMMprqaal91Eesle9O-07:00:00,170,168,1.2152
9iBvMMprqaal91Eesle9O-07:00:00,168,424,1.8303
9iBvMMprqaal91Eesle9O-07:00:00,424,405,1.0839
9iBvMMprqaal91Eesle9O-07:00:00,405,407,0.45380000000000004
9iBvMMprqaal91Eesle9O-07:00:00,407,409,0.8402000000000001
9iBvMMprqaal91Eesle9O-07:00:00,409,402,0.74
9iBvMMprqaal91Eesle9O-07:00:00,402,359,0.8399
AOVtM-9TZ3fXGgaCnC-sH-07:00:00,296,332,3.8487
AOVtM-9TZ3fXGgaCnC-sH-07:00:00,332,330,1.3973
